record_id,Timestamp,Num_Threads,Max_Prime,Total_Time,Num_Events,Execution_Time,Min,Avg,Max,Approx_95,Events_Avg,Events_Stddev,Execution_Avg,Execution_Stddev
1,2013-10-13 23:36:49.757,1,1000,0.4528,10000,0.4510,0.04,0.05,1.74,0.05,10000.0000,0.00,0.4510,0.00
2,2013-10-13 23:36:50.109,2,1000,0.3370,10000,0.6703,0.04,0.07,33.34,0.06,5000.0000,514.00,0.3351,0.00
3,2013-10-13 23:36:51.45,1,2000,1.3305,10000,1.3294,0.11,0.13,22.53,0.15,10000.0000,0.00,1.3294,0.00
4,2013-10-13 23:36:52.148,2,2000,0.6922,10000,1.3822,0.12,0.14,6.87,0.15,5000.0000,513.00,0.6911,0.00
5,2013-10-13 23:36:52.611,1,1000,0.4565,10000,0.4556,0.04,0.05,2.97,0.05,10000.0000,0.00,0.4556,0.00
6,2013-10-13 23:36:52.882,2,1000,0.2673,10000,0.5328,0.04,0.05,10.91,0.06,5000.0000,606.00,0.2664,0.00
7,2013-10-13 23:36:54.106,1,2000,1.2205,10000,1.2193,0.11,0.12,0.85,0.14,10000.0000,0.00,1.2193,0.00
8,2013-10-13 23:36:54.821,2,2000,0.7107,10000,1.4179,0.12,0.14,15.15,0.15,5000.0000,638.00,0.7089,0.00
9,2013-10-13 23:36:55.282,1,1000,0.4571,10000,0.4561,0.04,0.05,1.42,0.05,10000.0000,0.00,0.4561,0.00
10,2013-10-13 23:36:55.55,2,1000,0.2644,10000,0.5269,0.04,0.05,5.61,0.06,5000.0000,594.00,0.2635,0.00
11,2013-10-13 23:36:56.759,1,2000,1.2060,10000,1.2050,0.11,0.12,2.73,0.15,10000.0000,0.00,1.2050,0.00
12,2013-10-13 23:36:57.448,2,2000,0.6851,10000,1.3674,0.12,0.14,4.01,0.15,5000.0000,295.00,0.6837,0.00
13,2013-10-13 23:36:57.907,1,1000,0.4557,10000,0.4548,0.04,0.05,1.46,0.05,10000.0000,0.00,0.4548,0.00
14,2013-10-13 23:36:58.186,2,1000,0.2672,10000,0.5282,0.04,0.05,4.61,0.06,5000.0000,629.00,0.2641,0.00
15,2013-10-13 23:36:59.402,1,2000,1.2130,10000,1.2120,0.11,0.12,0.70,0.14,10000.0000,0.00,1.2120,0.00
16,2013-10-13 23:37:00.089,2,2000,0.6820,10000,1.3622,0.12,0.14,6.70,0.15,5000.0000,132.00,0.6811,0.00
17,2013-10-13 23:37:00.559,1,1000,0.4666,10000,0.4657,0.04,0.05,2.23,0.05,10000.0000,0.00,0.4657,0.00
18,2013-10-13 23:37:00.822,2,1000,0.2583,10000,0.5134,0.04,0.05,8.15,0.05,5000.0000,486.00,0.2567,0.00
19,2013-10-13 23:37:02.054,1,2000,1.2287,10000,1.2277,0.11,0.12,3.09,0.14,10000.0000,0.00,1.2277,0.00
20,2013-10-13 23:36:55.55,2,1000,0.2644,10000,0.5269,0.04,0.05,5.61,0.06,5000.0000,594.00,0.2635,0.00
21,2013-10-13 23:36:56.759,1,2000,1.2060,10000,1.2050,0.11,0.12,2.73,0.15,10000.0000,0.00,1.2050,0.00
22,2013-10-13 23:36:57.448,2,2000,0.6851,10000,1.3674,0.12,0.14,4.01,0.15,5000.0000,295.00,0.6837,0.00
23,2013-10-13 23:36:57.907,1,1000,0.4557,10000,0.4548,0.04,0.05,1.46,0.05,10000.0000,0.00,0.4548,0.00
24,2013-10-13 23:36:58.186,2,1000,0.2672,10000,0.5282,0.04,0.05,4.61,0.06,5000.0000,629.00,0.2641,0.00
25,2013-10-13 23:36:59.402,1,2000,1.2130,10000,1.2120,0.11,0.12,0.70,0.14,10000.0000,0.00,1.2120,0.00
26,2013-10-13 23:37:00.089,2,2000,0.6820,10000,1.3622,0.12,0.14,6.70,0.15,5000.0000,132.00,0.6811,0.00
27,2013-10-13 23:37:00.559,1,1000,0.4666,10000,0.4657,0.04,0.05,2.23,0.05,10000.0000,0.00,0.4657,0.00
28,2013-10-13 23:37:00.822,2,1000,0.2583,10000,0.5134,0.04,0.05,8.15,0.05,5000.0000,486.00,0.2567,0.00
29,2013-10-13 23:37:02.054,1,2000,1.2287,10000,1.2277,0.11,0.12,3.09,0.14,10000.0000,0.00,1.2277,0.00
